Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes;Kolumna1
Austria;2018;Total;Both Sexes;Total;Estimate - de jure;Final figure, complete;2018;8822267;1;1
Austria;2018;Total;Both Sexes;0 - 4;Estimate - de jure;Final figure, complete;2018;432008;1;0
Austria;2018;Total;Both Sexes;1 - 4;Estimate - de jure;Final figure, complete;2018;345548;1;0
Austria;2018;Total;Both Sexes;5 - 9;Estimate - de jure;Final figure, complete;2018;418903;1;0
Austria;2018;Total;Both Sexes;10 - 14;Estimate - de jure;Final figure, complete;2018;422091;1;0
Austria;2018;Total;Both Sexes;15 - 19;Estimate - de jure;Final figure, complete;2018;446497;1;0
Austria;2018;Total;Both Sexes;20 - 24;Estimate - de jure;Final figure, complete;2018;543335;1;0
Austria;2018;Total;Both Sexes;25 - 29;Estimate - de jure;Final figure, complete;2018;603826;1;0
Austria;2018;Total;Both Sexes;30 - 34;Estimate - de jure;Final figure, complete;2018;598813;1;0
Austria;2018;Total;Both Sexes;35 - 39;Estimate - de jure;Final figure, complete;2018;588265;1;0
Austria;2018;Total;Both Sexes;40 - 44;Estimate - de jure;Final figure, complete;2018;571243;1;0
Austria;2018;Total;Both Sexes;45 - 49;Estimate - de jure;Final figure, complete;2018;666736;1;0
Austria;2018;Total;Both Sexes;50 - 54;Estimate - de jure;Final figure, complete;2018;715390;1;0
Austria;2018;Total;Both Sexes;55 - 59;Estimate - de jure;Final figure, complete;2018;644612;1;0
Austria;2018;Total;Both Sexes;60 - 64;Estimate - de jure;Final figure, complete;2018;523556;1;0
Austria;2018;Total;Both Sexes;65 - 69;Estimate - de jure;Final figure, complete;2018;448191;1;0
Austria;2018;Total;Both Sexes;70 - 74;Estimate - de jure;Final figure, complete;2018;380051;1;0
Austria;2018;Total;Both Sexes;75 - 79;Estimate - de jure;Final figure, complete;2018;383384;1;0
Austria;2018;Total;Both Sexes;80 - 84;Estimate - de jure;Final figure, complete;2018;210513;1;0
Austria;2018;Total;Both Sexes;85 - 89;Estimate - de jure;Final figure, complete;2018;144461;1;0
Austria;2018;Total;Both Sexes;90 - 94;Estimate - de jure;Final figure, complete;2018;64880;1;0
Austria;2018;Total;Both Sexes;95 - 99;Estimate - de jure;Final figure, complete;2018;14493;1;0
Austria;2018;Total;Both Sexes;100 +;Estimate - de jure;Final figure, complete;2019;1019;1;0
Austria;2018;Total;Male;Total;Estimate - de jure;Final figure, complete;2018;4338518;1;1
Austria;2018;Total;Male;0 - 4;Estimate - de jure;Final figure, complete;2018;222710;1;0
Austria;2018;Total;Male;1 - 4;Estimate - de jure;Final figure, complete;2018;178101;1;0
Austria;2018;Total;Male;5 - 9;Estimate - de jure;Final figure, complete;2018;215722;1;0
Austria;2018;Total;Male;10 - 14;Estimate - de jure;Final figure, complete;2018;216400;1;0
Austria;2018;Total;Male;15 - 19;Estimate - de jure;Final figure, complete;2018;232261;1;0
Austria;2018;Total;Male;20 - 24;Estimate - de jure;Final figure, complete;2018;279722;1;0
Austria;2018;Total;Male;25 - 29;Estimate - de jure;Final figure, complete;2018;309000;1;0
Austria;2018;Total;Male;30 - 34;Estimate - de jure;Final figure, complete;2018;303752;1;0
Austria;2018;Total;Male;35 - 39;Estimate - de jure;Final figure, complete;2018;296654;1;0
Austria;2018;Total;Male;40 - 44;Estimate - de jure;Final figure, complete;2018;284470;1;0
Austria;2018;Total;Male;45 - 49;Estimate - de jure;Final figure, complete;2018;332581;1;0
Austria;2018;Total;Male;50 - 54;Estimate - de jure;Final figure, complete;2018;359280;1;0
Austria;2018;Total;Male;55 - 59;Estimate - de jure;Final figure, complete;2018;321042;1;0
Austria;2018;Total;Male;60 - 64;Estimate - de jure;Final figure, complete;2018;253644;1;0
