Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
2010;Total;Both Sexes;Total;Census - de jure - complete tabulation;Final figure, complete;2012;1332810869;1,2
2010;Total;Both Sexes;0 - 4;Census - de jure - complete tabulation;Final figure, complete;2012;75532610;1,2
2010;Total;Both Sexes;5 - 9;Census - de jure - complete tabulation;Final figure, complete;2012;70881549;1,2
2010;Total;Both Sexes;10 - 14;Census - de jure - complete tabulation;Final figure, complete;2012;74908462;1,2
2010;Total;Both Sexes;15 - 19;Census - de jure - complete tabulation;Final figure, complete;2012;99889114;1,2
2010;Total;Both Sexes;20 - 24;Census - de jure - complete tabulation;Final figure, complete;2012;127412518;1,2
2010;Total;Both Sexes;25 - 29;Census - de jure - complete tabulation;Final figure, complete;2012;101013852;1,2
2010;Total;Both Sexes;30 - 34;Census - de jure - complete tabulation;Final figure, complete;2012;97138203;1,2
2010;Total;Both Sexes;35 - 39;Census - de jure - complete tabulation;Final figure, complete;2012;118025959;1,2
2010;Total;Both Sexes;40 - 44;Census - de jure - complete tabulation;Final figure, complete;2012;124753964;1,2
2010;Total;Both Sexes;45 - 49;Census - de jure - complete tabulation;Final figure, complete;2012;105594553;1,2
2010;Total;Both Sexes;50 - 54;Census - de jure - complete tabulation;Final figure, complete;2012;78753171;1,2
2010;Total;Both Sexes;55 - 59;Census - de jure - complete tabulation;Final figure, complete;2012;81312474;1,2
2010;Total;Both Sexes;60 - 64;Census - de jure - complete tabulation;Final figure, complete;2012;58667282;1,2
2010;Total;Both Sexes;65 - 69;Census - de jure - complete tabulation;Final figure, complete;2012;41113282;1,2
2010;Total;Both Sexes;70 - 74;Census - de jure - complete tabulation;Final figure, complete;2012;32972397;1,2
2010;Total;Both Sexes;75 - 79;Census - de jure - complete tabulation;Final figure, complete;2012;23852133;1,2
2010;Total;Both Sexes;80 - 84;Census - de jure - complete tabulation;Final figure, complete;2012;13373198;1,2
2010;Total;Both Sexes;85 - 89;Census - de jure - complete tabulation;Final figure, complete;2012;5631928;1,2
2010;Total;Both Sexes;90 - 94;Census - de jure - complete tabulation;Final figure, complete;2012;1578307;1,2
2010;Total;Both Sexes;95 - 99;Census - de jure - complete tabulation;Final figure, complete;2012;369979;1,2
2010;Total;Both Sexes;100 +;Census - de jure - complete tabulation;Final figure, complete;2012;35934;1,2
2010;Total;Male;Total;Census - de jure - complete tabulation;Final figure, complete;2012;682329104;1,2
2010;Total;Male;0 - 4;Census - de jure - complete tabulation;Final figure, complete;2012;41062566;1,2
2010;Total;Male;5 - 9;Census - de jure - complete tabulation;Final figure, complete;2012;38464665;1,2
2010;Total;Male;10 - 14;Census - de jure - complete tabulation;Final figure, complete;2012;40267277;1,2
2010;Total;Male;15 - 19;Census - de jure - complete tabulation;Final figure, complete;2012;51904830;1,2
2010;Total;Male;20 - 24;Census - de jure - complete tabulation;Final figure, complete;2012;64008573;1,2
2010;Total;Male;25 - 29;Census - de jure - complete tabulation;Final figure, complete;2012;50837038;1,2
2010;Total;Male;30 - 34;Census - de jure - complete tabulation;Final figure, complete;2012;49521822;1,2
2010;Total;Male;35 - 39;Census - de jure - complete tabulation;Final figure, complete;2012;60391104;1,2
2010;Total;Male;40 - 44;Census - de jure - complete tabulation;Final figure, complete;2012;63608678;1,2
2010;Total;Male;45 - 49;Census - de jure - complete tabulation;Final figure, complete;2012;53776418;1,2
2010;Total;Male;50 - 54;Census - de jure - complete tabulation;Final figure, complete;2012;40363234;1,2
2010;Total;Male;55 - 59;Census - de jure - complete tabulation;Final figure, complete;2012;41082938;1,2
2010;Total;Male;60 - 64;Census - de jure - complete tabulation;Final figure, complete;2012;29834426;1,2
2010;Total;Male;65 - 69;Census - de jure - complete tabulation;Final figure, complete;2012;20748471;1,2
2010;Total;Male;70 - 74;Census - de jure - complete tabulation;Final figure, complete;2012;16403453;1,2
2010;Total;Male;75 - 79;Census - de jure - complete tabulation;Final figure, complete;2012;11278859;1,2
2010;Total;Male;80 - 84;Census - de jure - complete tabulation;Final figure, complete;2012;5917502;1,2
2010;Total;Male;85 - 89;Census - de jure - complete tabulation;Final figure, complete;2012;2199810;1,2
2010;Total;Male;90 - 94;Census - de jure - complete tabulation;Final figure, complete;2012;530872;1,2
2010;Total;Male;95 - 99;Census - de jure - complete tabulation;Final figure, complete;2012;117716;1,2
2010;Total;Male;100 +;Census - de jure - complete tabulation;Final figure, complete;2012;8852;1,2
2010;Total;Female;Total;Census - de jure - complete tabulation;Final figure, complete;2012;650481765;1,2
2010;Total;Female;0 - 4;Census - de jure - complete tabulation;Final figure, complete;2012;34470044;1,2
2010;Total;Female;5 - 9;Census - de jure - complete tabulation;Final figure, complete;2012;32416884;1,2
2010;Total;Female;10 - 14;Census - de jure - complete tabulation;Final figure, complete;2012;34641185;1,2
2010;Total;Female;15 - 19;Census - de jure - complete tabulation;Final figure, complete;2012;47984284;1,2
2010;Total;Female;20 - 24;Census - de jure - complete tabulation;Final figure, complete;2012;63403945;1,2
2010;Total;Female;25 - 29;Census - de jure - complete tabulation;Final figure, complete;2012;50176814;1,2
2010;Total;Female;30 - 34;Census - de jure - complete tabulation;Final figure, complete;2012;47616381;1,2
2010;Total;Female;35 - 39;Census - de jure - complete tabulation;Final figure, complete;2012;57634855;1,2
2010;Total;Female;40 - 44;Census - de jure - complete tabulation;Final figure, complete;2012;61145286;1,2
2010;Total;Female;45 - 49;Census - de jure - complete tabulation;Final figure, complete;2012;51818135;1,2
2010;Total;Female;50 - 54;Census - de jure - complete tabulation;Final figure, complete;2012;38389937;1,2
2010;Total;Female;55 - 59;Census - de jure - complete tabulation;Final figure, complete;2012;40229536;1,2
2010;Total;Female;60 - 64;Census - de jure - complete tabulation;Final figure, complete;2012;28832856;1,2
2010;Total;Female;65 - 69;Census - de jure - complete tabulation;Final figure, complete;2012;20364811;1,2
2010;Total;Female;70 - 74;Census - de jure - complete tabulation;Final figure, complete;2012;16568944;1,2
2010;Total;Female;75 - 79;Census - de jure - complete tabulation;Final figure, complete;2012;12573274;1,2
2010;Total;Female;80 - 84;Census - de jure - complete tabulation;Final figure, complete;2012;7455696;1,2
2010;Total;Female;85 - 89;Census - de jure - complete tabulation;Final figure, complete;2012;3432118;1,2
2010;Total;Female;90 - 94;Census - de jure - complete tabulation;Final figure, complete;2012;1047435;1,2
2010;Total;Female;95 - 99;Census - de jure - complete tabulation;Final figure, complete;2012;252263;1,2
2010;Total;Female;100 +;Census - de jure - complete tabulation;Final figure, complete;2012;27082;1,2
