Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes;;;;
France;2019;Total;Both Sexes;Total;Estimate - de jure;Provisional figure;2018;64812052;1;;;;
France;2019;Total;Both Sexes;0 - 4;Estimate - de jure;Provisional figure;2018;3553486;1;;;;
France;2019;Total;Both Sexes;1 - 4;Estimate - de jure;Provisional figure;2018;2875517;1;;;;
France;2019;Total;Both Sexes;5 - 9;Estimate - de jure;Provisional figure;2018;3932938;1;;;;
France;2019;Total;Both Sexes;10 - 14;Estimate - de jure;Provisional figure;2018;3993033;1;;;;
France;2019;Total;Both Sexes;15 - 19;Estimate - de jure;Provisional figure;2018;3965852;1;;;;
France;2019;Total;Both Sexes;20 - 24;Estimate - de jure;Provisional figure;2018;3628336;1;;;;
France;2019;Total;Both Sexes;25 - 29;Estimate - de jure;Provisional figure;2018;3677822;1;;;;
France;2019;Total;Both Sexes;30 - 34;Estimate - de jure;Provisional figure;2018;3935486;1;;;;
France;2019;Total;Both Sexes;35 - 39;Estimate - de jure;Provisional figure;2018;4099850;1;;;;
France;2019;Total;Both Sexes;40 - 44;Estimate - de jure;Provisional figure;2018;3972025;1;;;;
France;2019;Total;Both Sexes;45 - 49;Estimate - de jure;Provisional figure;2018;4416213;1;;;;
France;2019;Total;Both Sexes;50 - 54;Estimate - de jure;Provisional figure;2018;4325144;1;;;;
France;2019;Total;Both Sexes;55 - 59;Estimate - de jure;Provisional figure;2018;4206934;1;;;;
France;2019;Total;Both Sexes;60 - 64;Estimate - de jure;Provisional figure;2018;3971679;1;;;;
France;2019;Total;Both Sexes;65 - 69;Estimate - de jure;Provisional figure;2018;3831605;1;;;;
France;2019;Total;Both Sexes;70 - 74;Estimate - de jure;Provisional figure;2018;3200937;1;;;;
France;2019;Total;Both Sexes;75 - 79;Estimate - de jure;Provisional figure;2018;2130863;1;;;;
France;2019;Total;Both Sexes;80 - 84;Estimate - de jure;Provisional figure;2018;1827662;1;;;;
France;2019;Total;Both Sexes;85 - 89;Estimate - de jure;Provisional figure;2018;1318154;1;;;;
France;2019;Total;Both Sexes;90 - 94;Estimate - de jure;Provisional figure;2018;631295;1;;;;
France;2019;Total;Both Sexes;95 - 100;Estimate - de jure;Provisional figure;2018;192738;1;;;;
France;2019;Total;Male;Total;Estimate - de jure;Provisional figure;2018;31361439;1;;;;
France;2019;Total;Male;0 - 4;Estimate - de jure;Provisional figure;2018;1813377;1;;;;
France;2019;Total;Male;1 - 4;Estimate - de jure;Provisional figure;2018;1466288;1;;;;
France;2019;Total;Male;5 - 9;Estimate - de jure;Provisional figure;2018;2011607;1;;;;
France;2019;Total;Male;10 - 14;Estimate - de jure;Provisional figure;2018;2042309;1;;;;
France;2019;Total;Male;15 - 19;Estimate - de jure;Provisional figure;2018;2034102;1;;;;
France;2019;Total;Male;20 - 24;Estimate - de jure;Provisional figure;2018;1835245;1;;;;
France;2019;Total;Male;25 - 29;Estimate - de jure;Provisional figure;2018;1821968;1;;;;
France;2019;Total;Male;30 - 34;Estimate - de jure;Provisional figure;2018;1921860;1;;;;
France;2019;Total;Male;35 - 39;Estimate - de jure;Provisional figure;2018;2004650;1;;;;
France;2019;Total;Male;40 - 44;Estimate - de jure;Provisional figure;2018;1964217;1;;;;
France;2019;Total;Male;45 - 49;Estimate - de jure;Provisional figure;2018;2187331;1;;;;
France;2019;Total;Male;50 - 54;Estimate - de jure;Provisional figure;2018;2125795;1;;;;
France;2019;Total;Male;55 - 59;Estimate - de jure;Provisional figure;2018;2041891;1;;;;
France;2019;Total;Male;60 - 64;Estimate - de jure;Provisional figure;2018;1894353;1;;;;
France;2019;Total;Male;65 - 69;Estimate - de jure;Provisional figure;2018;1806111;1;;;;
France;2019;Total;Male;70 - 74;Estimate - de jure;Provisional figure;2018;1483881;1;;;;
France;2019;Total;Male;75 - 79;Estimate - de jure;Provisional figure;2018;946894;1;;;;
France;2019;Total;Male;80 - 84;Estimate - de jure;Provisional figure;2018;742520;1;;;;
France;2019;Total;Male;85 - 89;Estimate - de jure;Provisional figure;2018;462888;1;;;;
France;2019;Total;Male;90 - 94;Estimate - de jure;Provisional figure;2018;179540;1;;;;
France;2019;Total;Male;95 - 100;Estimate - de jure;Provisional figure;2018;40900;1;;;;
France;2019;Total;Female;Total;Estimate - de jure;Provisional figure;2018;33450613;1;;;;
France;2019;Total;Female;0 - 4;Estimate - de jure;Provisional figure;2018;1740109;1;;;;
France;2019;Total;Female;1 - 4;Estimate - de jure;Provisional figure;2018;1409229;1;;;;
France;2019;Total;Female;5 - 9;Estimate - de jure;Provisional figure;2018;1921331;1;;;;
France;2019;Total;Female;10 - 14;Estimate - de jure;Provisional figure;2018;1950724;1;;;;
France;2019;Total;Female;15 - 19;Estimate - de jure;Provisional figure;2018;1931750;1;;;;
France;2019;Total;Female;20 - 24;Estimate - de jure;Provisional figure;2018;1793091;1;;;;
France;2019;Total;Female;25 - 29;Estimate - de jure;Provisional figure;2018;1855854;1;;;;
France;2019;Total;Female;30 - 34;Estimate - de jure;Provisional figure;2018;2013626;1;;;;
France;2019;Total;Female;35 - 39;Estimate - de jure;Provisional figure;2018;2095200;1;;;;
France;2019;Total;Female;40 - 44;Estimate - de jure;Provisional figure;2018;2007808;1;;;;
France;2019;Total;Female;45 - 49;Estimate - de jure;Provisional figure;2018;2228882;1;;;;
France;2019;Total;Female;50 - 54;Estimate - de jure;Provisional figure;2018;2199349;1;;;;
France;2019;Total;Female;55 - 59;Estimate - de jure;Provisional figure;2018;2165043;1;;;;
France;2019;Total;Female;60 - 64;Estimate - de jure;Provisional figure;2018;2077326;1;;;;
France;2019;Total;Female;65 - 69;Estimate - de jure;Provisional figure;2018;2025494;1;;;;
France;2019;Total;Female;70 - 74;Estimate - de jure;Provisional figure;2018;1717056;1;;;;
France;2019;Total;Female;75 - 79;Estimate - de jure;Provisional figure;2018;1183969;1;;;;
France;2019;Total;Female;80 - 84;Estimate - de jure;Provisional figure;2018;1085142;1;;;;
France;2019;Total;Female;85 - 89;Estimate - de jure;Provisional figure;2018;855266;1;;;;
France;2019;Total;Female;90 - 94;Estimate - de jure;Provisional figure;2018;451755;1;;;;
France;2019;Total;Female;95 - 99;Estimate - de jure;Provisional figure;2018;151838;1;;;;
