Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
Ireland;2018;Total;Both Sexes;Total;Estimate - de facto;Final figure, complete;2019;4830392;1
Ireland;2018;Total;Both Sexes;0 - 4;Estimate - de facto;Final figure, complete;2019;319868;1
Ireland;2018;Total;Both Sexes;1 - 4;Estimate - de facto;Final figure, complete;2019;257689;1
Ireland;2018;Total;Both Sexes;5 - 9;Estimate - de facto;Final figure, complete;2019;357069;1
Ireland;2018;Total;Both Sexes;10 - 14;Estimate - de facto;Final figure, complete;2019;329511;1
Ireland;2018;Total;Both Sexes;15 - 19;Estimate - de facto;Final figure, complete;2019;313291;1
Ireland;2018;Total;Both Sexes;20 - 24;Estimate - de facto;Final figure, complete;2019;285136;1
Ireland;2018;Total;Both Sexes;25 - 29;Estimate - de facto;Final figure, complete;2019;289887;1
Ireland;2018;Total;Both Sexes;30 - 34;Estimate - de facto;Final figure, complete;2019;337951;1
Ireland;2018;Total;Both Sexes;35 - 39;Estimate - de facto;Final figure, complete;2019;395840;1
Ireland;2018;Total;Both Sexes;40 - 44;Estimate - de facto;Final figure, complete;2019;367138;1
Ireland;2018;Total;Both Sexes;45 - 49;Estimate - de facto;Final figure, complete;2019;338570;1
Ireland;2018;Total;Both Sexes;50 - 54;Estimate - de facto;Final figure, complete;2019;305197;1
Ireland;2018;Total;Both Sexes;55 - 59;Estimate - de facto;Final figure, complete;2019;277508;1
Ireland;2018;Total;Both Sexes;60 - 64;Estimate - de facto;Final figure, complete;2019;244778;1
Ireland;2018;Total;Both Sexes;65 - 69;Estimate - de facto;Final figure, complete;2019;214718;1
Ireland;2018;Total;Both Sexes;70 - 74;Estimate - de facto;Final figure, complete;2019;175461;1
Ireland;2018;Total;Both Sexes;75 - 79;Estimate - de facto;Final figure, complete;2019;120484;1
Ireland;2018;Total;Both Sexes;80 - 84;Estimate - de facto;Final figure, complete;2019;84888;1
Ireland;2018;Total;Both Sexes;85 - 89;Estimate - de facto;Final figure, complete;2019;47785;1
Ireland;2018;Total;Both Sexes;90 - 94;Estimate - de facto;Final figure, complete;2019;18908;1
Ireland;2018;Total;Both Sexes;95 - 99;Estimate - de facto;Final figure, complete;2019;5572;1
Ireland;2018;Total;Both Sexes;100 +;Estimate - de facto;Final figure, complete;2019;832;1
Ireland;2018;Total;Male;Total;Estimate - de facto;Final figure, complete;2019;2392223;1
