Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
Japan;2018;Total;Both Sexes;Total;Estimate - de jure;Final figure, complete;2019;126529000;01.02.2003
Japan;2018;Total;Both Sexes;0 - 4;Estimate - de jure;Final figure, complete;2019;4870000;01.02.2003
Japan;2018;Total;Both Sexes;5 - 9;Estimate - de jure;Final figure, complete;2019;5206000;01.02.2003
Japan;2018;Total;Both Sexes;10 - 14;Estimate - de jure;Final figure, complete;2019;5409000;01.02.2003
Japan;2018;Total;Both Sexes;15 - 19;Estimate - de jure;Final figure, complete;2019;5953000;01.02.2003
Japan;2018;Total;Both Sexes;20 - 24;Estimate - de jure;Final figure, complete;2019;6307000;01.02.2003
Japan;2018;Total;Both Sexes;25 - 29;Estimate - de jure;Final figure, complete;2019;6248000;01.02.2003
Japan;2018;Total;Both Sexes;30 - 34;Estimate - de jure;Final figure, complete;2019;6978000;01.02.2003
Japan;2018;Total;Both Sexes;35 - 39;Estimate - de jure;Final figure, complete;2019;7739000;01.02.2003
Japan;2018;Total;Both Sexes;40 - 44;Estimate - de jure;Final figure, complete;2019;9183000;01.02.2003
Japan;2018;Total;Both Sexes;45 - 49;Estimate - de jure;Final figure, complete;2019;9613000;01.02.2003
Japan;2018;Total;Both Sexes;50 - 54;Estimate - de jure;Final figure, complete;2019;8285000;01.02.2003
Japan;2018;Total;Both Sexes;55 - 59;Estimate - de jure;Final figure, complete;2019;7634000;01.02.2003
Japan;2018;Total;Both Sexes;60 - 64;Estimate - de jure;Final figure, complete;2019;7632000;01.02.2003
Japan;2018;Total;Both Sexes;65 - 69;Estimate - de jure;Final figure, complete;2019;9493000;01.02.2003
Japan;2018;Total;Both Sexes;70 - 74;Estimate - de jure;Final figure, complete;2019;8146000;01.02.2003
Japan;2018;Total;Both Sexes;75 - 79;Estimate - de jure;Final figure, complete;2019;6823000;01.02.2003
Japan;2018;Total;Both Sexes;80 - 84;Estimate - de jure;Final figure, complete;2019;5354000;01.02.2003
Japan;2018;Total;Both Sexes;85 - 89;Estimate - de jure;Final figure, complete;2019;3499000;01.02.2003
Japan;2018;Total;Both Sexes;90 - 94;Estimate - de jure;Final figure, complete;2019;1652000;01.02.2003
Japan;2018;Total;Both Sexes;95 - 99;Estimate - de jure;Final figure, complete;2019;435000;01.02.2003
Japan;2018;Total;Both Sexes;100 +;Estimate - de jure;Final figure, complete;2019;70000;01.02.2003
Japan;2018;Total;Male;Total;Estimate - de jure;Final figure, complete;2019;61558000;01.02.2003
Japan;2018;Total;Male;0 - 4;Estimate - de jure;Final figure, complete;2019;2495000;01.02.2003
Japan;2018;Total;Male;5 - 9;Estimate - de jure;Final figure, complete;2019;2666000;01.02.2003
Japan;2018;Total;Male;10 - 14;Estimate - de jure;Final figure, complete;2019;2769000;01.02.2003
Japan;2018;Total;Male;15 - 19;Estimate - de jure;Final figure, complete;2019;3056000;01.02.2003
Japan;2018;Total;Male;20 - 24;Estimate - de jure;Final figure, complete;2019;3249000;01.02.2003
Japan;2018;Total;Male;25 - 29;Estimate - de jure;Final figure, complete;2019;3204000;01.02.2003
Japan;2018;Total;Male;30 - 34;Estimate - de jure;Final figure, complete;2019;3551000;01.02.2003
Japan;2018;Total;Male;35 - 39;Estimate - de jure;Final figure, complete;2019;3921000;01.02.2003
Japan;2018;Total;Male;40 - 44;Estimate - de jure;Final figure, complete;2019;4651000;01.02.2003
Japan;2018;Total;Male;45 - 49;Estimate - de jure;Final figure, complete;2019;4854000;01.02.2003
Japan;2018;Total;Male;50 - 54;Estimate - de jure;Final figure, complete;2019;4163000;01.02.2003
Japan;2018;Total;Male;55 - 59;Estimate - de jure;Final figure, complete;2019;3808000;01.02.2003
Japan;2018;Total;Male;60 - 64;Estimate - de jure;Final figure, complete;2019;3764000;01.02.2003
Japan;2018;Total;Male;65 - 69;Estimate - de jure;Final figure, complete;2019;4592000;01.02.2003
Japan;2018;Total;Male;70 - 74;Estimate - de jure;Final figure, complete;2019;3825000;01.02.2003
Japan;2018;Total;Male;75 - 79;Estimate - de jure;Final figure, complete;2019;3051000;01.02.2003
Japan;2018;Total;Male;80 - 84;Estimate - de jure;Final figure, complete;2019;2194000;01.02.2003
Japan;2018;Total;Male;85 - 89;Estimate - de jure;Final figure, complete;2019;1217000;01.02.2003
Japan;2018;Total;Male;90 - 94;Estimate - de jure;Final figure, complete;2019;444000;01.02.2003
Japan;2018;Total;Male;95 - 99;Estimate - de jure;Final figure, complete;2019;76000;01.02.2003
Japan;2018;Total;Male;100 +;Estimate - de jure;Final figure, complete;2019;9000;01.02.2003
Japan;2018;Total;Female;Total;Estimate - de jure;Final figure, complete;2019;64972000;01.02.2003
Japan;2018;Total;Female;0 - 4;Estimate - de jure;Final figure, complete;2019;2376000;01.02.2003
Japan;2018;Total;Female;5 - 9;Estimate - de jure;Final figure, complete;2019;2540000;01.02.2003
Japan;2018;Total;Female;10 - 14;Estimate - de jure;Final figure, complete;2019;2640000;01.02.2003
Japan;2018;Total;Female;15 - 19;Estimate - de jure;Final figure, complete;2019;2898000;01.02.2003
Japan;2018;Total;Female;20 - 24;Estimate - de jure;Final figure, complete;2019;3058000;01.02.2003
Japan;2018;Total;Female;25 - 29;Estimate - de jure;Final figure, complete;2019;3044000;01.02.2003
Japan;2018;Total;Female;30 - 34;Estimate - de jure;Final figure, complete;2019;3427000;01.02.2003
Japan;2018;Total;Female;35 - 39;Estimate - de jure;Final figure, complete;2019;3819000;01.02.2003
Japan;2018;Total;Female;40 - 44;Estimate - de jure;Final figure, complete;2019;4532000;01.02.2003
Japan;2018;Total;Female;45 - 49;Estimate - de jure;Final figure, complete;2019;4759000;01.02.2003
Japan;2018;Total;Female;50 - 54;Estimate - de jure;Final figure, complete;2019;4123000;01.02.2003
