"Country or Area";"Year";"Area";"Sex";"Age";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Poland";"2018";"Total";"Both Sexes";"Total";"Estimate - de jure";"Final figure, complete";"2019";"37976687";"1"
"Poland";"2018";"Total";"Both Sexes";"0";"Estimate - de jure";"Final figure, complete";"2019";"394398";"1"
"Poland";"2018";"Total";"Both Sexes";"0 - 4";"Estimate - de jure";"Final figure, complete";"2019";"1897382";"1"
"Poland";"2018";"Total";"Both Sexes";"1";"Estimate - de jure";"Final figure, complete";"2019";"384433";"1"
"Poland";"2018";"Total";"Both Sexes";"1 - 4";"Estimate - de jure";"Final figure, complete";"2019";"1502984";"1"
"Poland";"2018";"Total";"Both Sexes";"2";"Estimate - de jure";"Final figure, complete";"2019";"372037";"1"
"Poland";"2018";"Total";"Both Sexes";"3";"Estimate - de jure";"Final figure, complete";"2019";"376121";"1"
"Poland";"2018";"Total";"Both Sexes";"4";"Estimate - de jure";"Final figure, complete";"2019";"370393";"1"
"Poland";"2018";"Total";"Both Sexes";"5";"Estimate - de jure";"Final figure, complete";"2019";"389417";"1"
"Poland";"2018";"Total";"Both Sexes";"5 - 9";"Estimate - de jure";"Final figure, complete";"2019";"2046161";"1"
"Poland";"2018";"Total";"Both Sexes";"6";"Estimate - de jure";"Final figure, complete";"2019";"389120";"1"
"Poland";"2018";"Total";"Both Sexes";"7";"Estimate - de jure";"Final figure, complete";"2019";"412855";"1"
"Poland";"2018";"Total";"Both Sexes";"8";"Estimate - de jure";"Final figure, complete";"2019";"428557";"1"
"Poland";"2018";"Total";"Both Sexes";"9";"Estimate - de jure";"Final figure, complete";"2019";"426212";"1"
"Poland";"2018";"Total";"Both Sexes";"10";"Estimate - de jure";"Final figure, complete";"2019";"398865";"1"
"Poland";"2018";"Total";"Both Sexes";"10 - 14";"Estimate - de jure";"Final figure, complete";"2019";"1843246";"1"
"Poland";"2018";"Total";"Both Sexes";"11";"Estimate - de jure";"Final figure, complete";"2019";"378922";"1"
"Poland";"2018";"Total";"Both Sexes";"12";"Estimate - de jure";"Final figure, complete";"2019";"364885";"1"
"Poland";"2018";"Total";"Both Sexes";"13";"Estimate - de jure";"Final figure, complete";"2019";"353371";"1"
"Poland";"2018";"Total";"Both Sexes";"14";"Estimate - de jure";"Final figure, complete";"2019";"347203";"1"
"Poland";"2018";"Total";"Both Sexes";"15";"Estimate - de jure";"Final figure, complete";"2019";"350653";"1"
"Poland";"2018";"Total";"Both Sexes";"15 - 19";"Estimate - de jure";"Final figure, complete";"2019";"1850599";"1"
"Poland";"2018";"Total";"Both Sexes";"16";"Estimate - de jure";"Final figure, complete";"2019";"363364";"1"
"Poland";"2018";"Total";"Both Sexes";"17";"Estimate - de jure";"Final figure, complete";"2019";"373200";"1"
"Poland";"2018";"Total";"Both Sexes";"18";"Estimate - de jure";"Final figure, complete";"2019";"376413";"1"
"Poland";"2018";"Total";"Both Sexes";"19";"Estimate - de jure";"Final figure, complete";"2019";"386969";"1"
"Poland";"2018";"Total";"Both Sexes";"20";"Estimate - de jure";"Final figure, complete";"2019";"403350";"1"
