Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;Total;Estimate - de jure;Final figure, complete;2019;66273576;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;0 - 4;Estimate - de jure;Final figure, complete;2019;3948754;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;1 - 4;Estimate - de jure;Final figure, complete;2019;3180323;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;5 - 9;Estimate - de jure;Final figure, complete;2019;4127134;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;10 - 14;Estimate - de jure;Final figure, complete;2019;3795661;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;15 - 19;Estimate - de jure;Final figure, complete;2019;3678852;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;20 - 24;Estimate - de jure;Final figure, complete;2019;4194671;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;25 - 29;Estimate - de jure;Final figure, complete;2019;4544698;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;30 - 34;Estimate - de jure;Final figure, complete;2019;4448043;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;35 - 39;Estimate - de jure;Final figure, complete;2019;4328081;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;40 - 44;Estimate - de jure;Final figure, complete;2019;4025390;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;45 - 49;Estimate - de jure;Final figure, complete;2019;4541513;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;50 - 54;Estimate - de jure;Final figure, complete;2019;4671514;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;55 - 59;Estimate - de jure;Final figure, complete;2019;4240050;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;60 - 64;Estimate - de jure;Final figure, complete;2019;3637148;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;65 - 69;Estimate - de jure;Final figure, complete;2019;3438188;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;70 - 74;Estimate - de jure;Final figure, complete;2019;3182572;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;75 - 79;Estimate - de jure;Final figure, complete;2019;2210116;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;80 - 84;Estimate - de jure;Final figure, complete;2019;1657805;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;85 - 89;Estimate - de jure;Final figure, complete;2019;1021503;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;90 - 94;Estimate - de jure;Final figure, complete;2019;446840;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;95 - 99;Estimate - de jure;Final figure, complete;2019;120574;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Both Sexes;100 +;Estimate - de jure;Final figure, complete;2019;14469;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;Total;Estimate - de jure;Final figure, complete;2019;32709956;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;0 - 4;Estimate - de jure;Final figure, complete;2019;2024378;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;1 - 4;Estimate - de jure;Final figure, complete;2019;1630588;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;5 - 9;Estimate - de jure;Final figure, complete;2019;2112519;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;10 - 14;Estimate - de jure;Final figure, complete;2019;1944627;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;15 - 19;Estimate - de jure;Final figure, complete;2019;1888733;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;20 - 24;Estimate - de jure;Final figure, complete;2019;2153737;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;25 - 29;Estimate - de jure;Final figure, complete;2019;2301315;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;30 - 34;Estimate - de jure;Final figure, complete;2019;2219685;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;35 - 39;Estimate - de jure;Final figure, complete;2019;2148457;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;40 - 44;Estimate - de jure;Final figure, complete;2019;1996585;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;45 - 49;Estimate - de jure;Final figure, complete;2019;2239582;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;50 - 54;Estimate - de jure;Final figure, complete;2019;2299522;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;55 - 59;Estimate - de jure;Final figure, complete;2019;2090524;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;60 - 64;Estimate - de jure;Final figure, complete;2019;1782067;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;65 - 69;Estimate - de jure;Final figure, complete;2019;1665214;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;70 - 74;Estimate - de jure;Final figure, complete;2019;1522470;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;75 - 79;Estimate - de jure;Final figure, complete;2019;1018015;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;80 - 84;Estimate - de jure;Final figure, complete;2019;723134;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;85 - 89;Estimate - de jure;Final figure, complete;2019;398605;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;90 - 94;Estimate - de jure;Final figure, complete;2019;148066;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;95 - 99;Estimate - de jure;Final figure, complete;2019;30218;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Male;100 +;Estimate - de jure;Final figure, complete;2019;2503;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;Total;Estimate - de jure;Final figure, complete;2019;33563620;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;0 - 4;Estimate - de jure;Final figure, complete;2019;1924376;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;1 - 4;Estimate - de jure;Final figure, complete;2019;1549735;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;5 - 9;Estimate - de jure;Final figure, complete;2019;2014615;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;10 - 14;Estimate - de jure;Final figure, complete;2019;1851034;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;15 - 19;Estimate - de jure;Final figure, complete;2019;1790119;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;20 - 24;Estimate - de jure;Final figure, complete;2019;2040934;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;25 - 29;Estimate - de jure;Final figure, complete;2019;2243383;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;30 - 34;Estimate - de jure;Final figure, complete;2019;2228358;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;35 - 39;Estimate - de jure;Final figure, complete;2019;2179624;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;40 - 44;Estimate - de jure;Final figure, complete;2019;2028805;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;45 - 49;Estimate - de jure;Final figure, complete;2019;2301931;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;50 - 54;Estimate - de jure;Final figure, complete;2019;2371992;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;55 - 59;Estimate - de jure;Final figure, complete;2019;2149526;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;60 - 64;Estimate - de jure;Final figure, complete;2019;1855081;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;65 - 69;Estimate - de jure;Final figure, complete;2019;1772974;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;70 - 74;Estimate - de jure;Final figure, complete;2019;1660102;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;75 - 79;Estimate - de jure;Final figure, complete;2019;1192101;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;80 - 84;Estimate - de jure;Final figure, complete;2019;934671;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;85 - 89;Estimate - de jure;Final figure, complete;2019;622898;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;90 - 94;Estimate - de jure;Final figure, complete;2019;298774;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;95 - 99;Estimate - de jure;Final figure, complete;2019;90356;1,2
United Kingdom of Great Britain and Northern Ireland;2018;Total;Female;100 +;Estimate - de jure;Final figure, complete;2019;11966;1,2
