Country or Area;Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
Italy;2018;Total;Both Sexes;Total;Estimate - de jure;Final figure, complete;2019;60483973;1
Italy;2018;Total;Both Sexes;0 - 4;Estimate - de jure;Final figure, complete;2019;2431659;1
Italy;2018;Total;Both Sexes;1 - 4;Estimate - de jure;Final figure, complete;2019;1975467;1
Italy;2018;Total;Both Sexes;5 - 9;Estimate - de jure;Final figure, complete;2019;2783704;1
Italy;2018;Total;Both Sexes;10 - 14;Estimate - de jure;Final figure, complete;2019;2864813;1
Italy;2018;Total;Both Sexes;15 - 19;Estimate - de jure;Final figure, complete;2019;2898079;1
Italy;2018;Total;Both Sexes;20 - 24;Estimate - de jure;Final figure, complete;2019;2986520;1
Italy;2018;Total;Both Sexes;25 - 29;Estimate - de jure;Final figure, complete;2019;3248924;1
Italy;2018;Total;Both Sexes;30 - 34;Estimate - de jure;Final figure, complete;2019;3394701;1
Italy;2018;Total;Both Sexes;35 - 39;Estimate - de jure;Final figure, complete;2019;3813383;1
Italy;2018;Total;Both Sexes;40 - 44;Estimate - de jure;Final figure, complete;2019;4559730;1
Italy;2018;Total;Both Sexes;45 - 49;Estimate - de jure;Final figure, complete;2019;4867528;1
Italy;2018;Total;Both Sexes;50 - 54;Estimate - de jure;Final figure, complete;2019;4913444;1
Italy;2018;Total;Both Sexes;55 - 59;Estimate - de jure;Final figure, complete;2019;4299302;1
Italy;2018;Total;Both Sexes;60 - 64;Estimate - de jure;Final figure, complete;2019;3777823;1
Italy;2018;Total;Both Sexes;65 - 69;Estimate - de jure;Final figure, complete;2019;3557141;1
Italy;2018;Total;Both Sexes;70 - 74;Estimate - de jure;Final figure, complete;2019;3099710;1
Italy;2018;Total;Both Sexes;75 - 79;Estimate - de jure;Final figure, complete;2019;2780512;1
Italy;2018;Total;Both Sexes;80 - 84;Estimate - de jure;Final figure, complete;2019;2108835;1
Italy;2018;Total;Both Sexes;85 - 89;Estimate - de jure;Final figure, complete;2019;1352274;1
Italy;2018;Total;Both Sexes;90 - 94;Estimate - de jure;Final figure, complete;2019;589247;1
Italy;2018;Total;Both Sexes;95 - 99;Estimate - de jure;Final figure, complete;2019;140997;1
Italy;2018;Total;Both Sexes;100 +;Estimate - de jure;Final figure, complete;2019;31277;1
Italy;2018;Total;Male;Total;Estimate - de jure;Final figure, complete;2019;29427607;1
Italy;2018;Total;Male;0 - 4;Estimate - de jure;Final figure, complete;2019;1249919;1
Italy;2018;Total;Male;1 - 4;Estimate - de jure;Final figure, complete;2019;1015180;1
Italy;2018;Total;Male;5 - 9;Estimate - de jure;Final figure, complete;2019;1432161;1
Italy;2018;Total;Male;10 - 14;Estimate - de jure;Final figure, complete;2019;1475522;1
Italy;2018;Total;Male;15 - 19;Estimate - de jure;Final figure, complete;2019;1504897;1
Italy;2018;Total;Male;20 - 24;Estimate - de jure;Final figure, complete;2019;1557238;1
Italy;2018;Total;Male;25 - 29;Estimate - de jure;Final figure, complete;2019;1661411;1
Italy;2018;Total;Male;30 - 34;Estimate - de jure;Final figure, complete;2019;1712078;1
Italy;2018;Total;Male;35 - 39;Estimate - de jure;Final figure, complete;2019;1911532;1
Italy;2018;Total;Male;40 - 44;Estimate - de jure;Final figure, complete;2019;2272240;1
Italy;2018;Total;Male;45 - 49;Estimate - de jure;Final figure, complete;2019;2410831;1
Italy;2018;Total;Male;50 - 54;Estimate - de jure;Final figure, complete;2019;2418760;1
Italy;2018;Total;Male;55 - 59;Estimate - de jure;Final figure, complete;2019;2088029;1
Italy;2018;Total;Male;60 - 64;Estimate - de jure;Final figure, complete;2019;1817151;1
Italy;2018;Total;Male;65 - 69;Estimate - de jure;Final figure, complete;2019;1694005;1
Italy;2018;Total;Male;70 - 74;Estimate - de jure;Final figure, complete;2019;1445309;1
Italy;2018;Total;Male;75 - 79;Estimate - de jure;Final figure, complete;2019;1235415;1
Italy;2018;Total;Male;80 - 84;Estimate - de jure;Final figure, complete;2019;864324;1
Italy;2018;Total;Male;85 - 89;Estimate - de jure;Final figure, complete;2019;477962;1
Italy;2018;Total;Male;90 - 94;Estimate - de jure;Final figure, complete;2019;165598;1
Italy;2018;Total;Male;95 - 99;Estimate - de jure;Final figure, complete;2019;30668;1
Italy;2018;Total;Male;100 +;Estimate - de jure;Final figure, complete;2019;5111;1
Italy;2018;Total;Female;Total;Estimate - de jure;Final figure, complete;2019;31056366;1
Italy;2018;Total;Female;0 - 4;Estimate - de jure;Final figure, complete;2019;1181740;1
Italy;2018;Total;Female;1 - 4;Estimate - de jure;Final figure, complete;2019;960287;1
Italy;2018;Total;Female;5 - 9;Estimate - de jure;Final figure, complete;2019;1351543;1
Italy;2018;Total;Female;10 - 14;Estimate - de jure;Final figure, complete;2019;1389291;1
Italy;2018;Total;Female;15 - 19;Estimate - de jure;Final figure, complete;2019;1393182;1
Italy;2018;Total;Female;20 - 24;Estimate - de jure;Final figure, complete;2019;1429282;1
Italy;2018;Total;Female;25 - 29;Estimate - de jure;Final figure, complete;2019;1587513;1
Italy;2018;Total;Female;30 - 34;Estimate - de jure;Final figure, complete;2019;1682623;1
Italy;2018;Total;Female;35 - 39;Estimate - de jure;Final figure, complete;2019;1901851;1
Italy;2018;Total;Female;40 - 44;Estimate - de jure;Final figure, complete;2019;2287490;1
Italy;2018;Total;Female;45 - 49;Estimate - de jure;Final figure, complete;2019;2456697;1
Italy;2018;Total;Female;50 - 54;Estimate - de jure;Final figure, complete;2019;2494684;1
Italy;2018;Total;Female;55 - 59;Estimate - de jure;Final figure, complete;2019;2211273;1
Italy;2018;Total;Female;60 - 64;Estimate - de jure;Final figure, complete;2019;1960672;1
Italy;2018;Total;Female;65 - 69;Estimate - de jure;Final figure, complete;2019;1863136;1
Italy;2018;Total;Female;70 - 74;Estimate - de jure;Final figure, complete;2019;1654401;1
Italy;2018;Total;Female;75 - 79;Estimate - de jure;Final figure, complete;2019;1545097;1
Italy;2018;Total;Female;80 - 84;Estimate - de jure;Final figure, complete;2019;1244511;1
Italy;2018;Total;Female;85 - 89;Estimate - de jure;Final figure, complete;2019;874312;1
Italy;2018;Total;Female;90 - 94;Estimate - de jure;Final figure, complete;2019;423649;1
Italy;2018;Total;Female;95 - 99;Estimate - de jure;Final figure, complete;2019;110329;1
Italy;2018;Total;Female;100 +;Estimate - de jure;Final figure, complete;2019;26166;1
